"Expect lane closures 12/1, 12:01-3PM. Cyclists may need to dismount to pass work area.",lane closures,"GreenpointAveBridge,bikenyc",,01-12-2015,12:01-3PM
Expect lane closures on Mon 11/30 12:01-5AM to clean drainage system.,lane closures,UniversityHeightsBridge,,30-11-2015,12:01-5AM
"lane closures for Mn&Bk bound vehicles Mon11/30+Tue12/1 nights, 10PM-5AM",lane closures bound vehicles,WilliamsburgBridge,,01-12-2015 and 30-11-2015,10PM-5AM
"lane closures & full closures for North Tube only, 11/30 thru 12/12. See below for details:",lane closures full closures north tube,BatteryParkUnderpass,,12-12-2015 and 30-11-2015,empty
"REMINDER: full closures Saturdays & Sundays thru 11/22, 7am-3pm. Alt route: Metropolitan Ave",reminder full closures route,GrandStBridge,,22-11-2015,7am-3pm
eastbound traffic shift b/w Flatbush Ave & Mill Basin Bridge beginning 10pm on Mon 11/23,eastbound bridge,BeltParkway,,23-11-2015,10pm
"maintenance on 11/24: lane closure from 7am-3pm, 15min full bridge closures from 10am-2pm",lane closure full bridge closures,RooseveltIslandBridge,,24-11-2015,7am-3pm
"lane closures b/w Ave H & Ave I, one night only 11/23 from 9pm-5am",lane closures,NostrandAve,,23-11-2015,9pm-5am
"single lane closures: Lower Roadway closures on 11/23, Upper Roadway on 11/24 & 11/25. See below:",lane closures lower roadway closures upper roadway,ManhattanBridge,,23-11-2015 and 24-11-2015 and 25-11-2015,empty
"single lane closures, 11/19 from 10pm-6am",lane,UnionportBridge,,19-11-2015,10pm-6am
"single lane closures, 11/18 from 11pm-6am",lane,MacombsDamBridge,,18-11-2015,11pm-6am
"lane closures b/w Ave H and Ave I, one night only 11/18 from 9pm-5am",lane closures,NostrandAve,,18-11-2015,9pm-5am
CANCELED: All lane closures in the Battery Park Underpass are CANCELED for the week of 11/16 thru 11/21.,canceled lane closures canceled,,,16-11-2015 to 21-11-2015,empty
"Upper Roadway partial lane closures, Mn-bound 11/17 10pm-5am, Qns-bound 11/19 11pm-5am",upper roadway partial lane,QueensboroBridge,,17-11-2015,10pm-5am
,,,,19-11-2015,11pm-5am
"REMINDER: full closures Saturdays & Sundays thru 11/22, 7am-3pm. Alt route: Metropolitan Ave",reminder full closures route,GrandStBridge,,22-11-2015,7am-3pm
"single lane closures, 11/17 from 11pm-6am",lane,MadisonAveBridge,,17-11-2015,11pm-6am
"full bridge closure 11/19 thru 11/21, Thurs & Fri 12:01am-5am, Sat 1am-6am. Detour below:",full bridge closure detour,MetropolitanAveBridge,,19-11-2015 to 21-11-2015,12:01am-5am
Update: pedestrian/ promenade work completed last night. No path closure tonight (11/12),path closure,"BkBridge,bikenyc,brooklynbridge",,12-11-2015,empty
pedestrian/ path will be closed tonight 9PM until Fri 6AM. Please use as alternate route.,path closed alternate route,"BrooklynBridge,bikenyc,ManhattanBridge",,12-11-2015,9PM
11/13 Partial Lane Closures: N/B 10AM-Noon; S/B 12-3PM. Alt Route:,partial lane closures route,"PelhamBridge,HutchinsonRiverParkway",,13-11-2015,10AM
Promenade fully closed tonight 11/11 9pm-6am. Use as alt route.,closed route,"BrooklynBridge,ManhattanBridge,bikenyc,BkBridge",,11-11-2015,9pm-6am
"UPDATE: Due to weather, tonight's closure of the pedestrian/ path is rescheduled for Thurs 11/12 9PM to Fri 6AM.",closure path rescheduled,"BrooklynBridge,bikenyc",,10-11-2015 and 12-11-2015,9PM
Promenade fully closed tonight 11/10 9pm-6am. Use as alt route.,closed route,"BrooklynBridge,ManhattanBridge,bikenyc,BkBridge",,10-11-2015,9pm-6am
"revised/extended nightly closures of NorthTube thru 11/20, SouthTube closures continue 11/21:",closures northtube southtube closures continue,BatteryParkUnderpass,,20-11-2015 and 21-11-2015,empty
"partial lane closures on 11/12, one Bx-bound lane closed 7am-10am, one Mn-bound lane 10am-3pm",partial lane closures lane closed lane,BroadwayBridge,,12-11-2015,7am-10am
"REMINDER: full closures Saturdays & Sundays, 11/7 thru 11/22 7am-3pm. Alt route: Metropolitan Ave",reminder full closures route,GrandStBridge,,07-11-2015 to 22-11-2015,7am-3pm
"REMINDER: South Tube fully closed all day tomorrow, Sat 11/7 12:01am-11:59pm per",reminder south tube closed,BatteryParkUnderpass,,07-11-2015,12:01am-11:59pm
"partial lane closures on Tues, 11/10 from 7am-3pm. See below for details:",partial lane closures,145thStBridge,,10-11-2015,7am-3pm
"two lane closures in both directions under 49th Street, two nights a wk from 11/9 thru 12/11:",lane closures both,"GrandCentralPkwy,GCP",,09-11-2015 to 11-12-2015,empty
"Mn-bound Lower Roadway right lane closed 12:01am-5am one/two weeknights per week,11/9 thru 12/28",lower roadway lane closed,QueensboroBridge,,09-11-2015 to 28-12-2015,12:01am-5am
"North & South Tube night closures extended thru 11/14, see below for full schedule:",north south tube closures extended full schedule,BatteryParkUnderpass,,14-11-2015,empty
Promenade fully closed tonight 11/4 9pm-6am. Use as alt route.,closed route,"BrooklynBridge,ManhattanBridge,bikenyc,BkBridge",,04-11-2015,9pm-6am
"lane closures on Thurs 11/5, Queens-bound closures: 10am-12pm, RI-bound: 12pm-3pm",lane closures closures,RooseveltIslandBridge,,05-11-2015,10am-12pm
Promenade fully closed tonight 11/3 9pm-6am. Use as alt route.,closed route,"BrooklynBridge,ManhattanBridge,bikenyc,BkBridge",,03-11-2015,9pm-6am
