access
accessibility
accessible
alert
alerts
alerting
alternate
alternative
alternatives
announcing
announces
announce
announcement
announced
available
avoid
bainbridge
barriers
barrier
began
begin
begins
beginning
bike
biking
bikes
bklyn
blocking
blocked
blocks
block
boardwalk
boro
boros
borough
boroughs
bound
bridge
bridges
broadway
broken
bronx
brooklyn
brooklynbound
brooklynbridgeoutreach
business
busy
businesses
canceled
cancelled
cancellations
carfree
changed
change
changes
check
checks
checked
clear
cleared
clears
clearing
closed
closes
close
closing
closely
closures
closure
commuters
commute
commuter
completed
complete
completion
completely
condition
conditions
congestion
congested
connects
connect
connected
connection
connecting
connections
continuing
continue
continues
continued
continuous
continuously
coordinator
coordinators
cross
crossing
crossings
days
day
departure
details
detail
detours
detour
directions
directives
direction
directed
direct
dismount
disruptions
downtown
driving
drive
drives
drivers
driver
east
eastbound
effect
effects
effective
event
events
expressway
extended
extending
extend
extensions
extension
extensive
failure
follow
following
forecasted
forecast
full
half
hall
head
headed
heads
intermittent
intermittently
interruptions
intersections
intersection
item
kbridge
killed
lane
lanes
level
lifted
location
locations
located
madison
manattan
maneuverability
manhattan
manhattanbound
meeting
meetings
meets
meet
mnbd
mnbound
mnhtn
modified
multifunction
navigate
navigation
north
northbound
northtube
notified
notify
nyc
obstruction
open
opened
opening
opens
openings
operating
operate
operated
operators
operations
operates
operation
operator
operational
overnight
overpass
overpasses
partial
partially
passenger
passengers
path
paths
pennsylvania
permanently
permanent
plan
planning
plans
planned
posted
posts
post
postponed
qnsbound
queensbound
queue
redirecting
redirection
remain
remained
remains
reminder
reminding
remind
reminds
reopened
reopen
reopening
repaired
repair
repairs
repairing
repairer
request
requests
requesting
requires
require
rescheduled
reschedule
restore
restores
restored
restoring
restoration
resumed
resume
resumes
riding
ride
rides
riders
road
roads
roadway
roadways
roadwork
roundabout
roundabouts
route
routing
routes
routed
routine
rush
schedule
scheduled
schedules
scheduling
signal
signals
signalized
slow
slows
south
southbound
southwest
speed
speeding
started
start
starting
starts
stop
stopped
stops
stopping
stoplight
street
streets
struck
subways
subway
suggestion
suggestions
suggested
suggest
suspended
suspension
suspensions
switch
temp
temps
temporary
thru
time
times
timing
today
tomorrow
tonight
transit
transitioned
transition
travel
traveling
travelers
traveler
trouble
tube
tunnel
tunnels
using
used
use
vehicle
vehicles
vehicular
week
weeks
weekend
weekends
westbound
